# femnist-tangle
{'accuracy': 0.7195362087769288, 'loss': 0.9031321235003102, 'consensus_round': 158.66666666666666, 'consensus_poisoning': 0.13094976839007708, 'norm': 0.0},
{'accuracy': 0.6761027407312002, 'loss': 1.102411710169727, 'consensus_round': 165.66666666666669, 'consensus_poisoning': 0.15163316692368684, 'norm': 0.0},
{'accuracy': 0.7620540780198786, 'loss': 0.7512989459873174, 'consensus_round': 178.33333333333334, 'consensus_poisoning': 0.15268722818497385, 'norm': 0.0},
{'accuracy': 0.7200724996272097, 'loss': 1.0686247175657226, 'consensus_round': 186.33333333333334, 'consensus_poisoning': 0.15996733702839222, 'norm': 0.0},
{'accuracy': 0.7489268292386061, 'loss': 0.8359543031082252, 'consensus_round': 197.66666666666666, 'consensus_poisoning': 0.16309258306170296, 'norm': 0.0},


{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.11749604195018917, 'loss': 3.8109053522968916, 'consensus_round': 8.666666666666666, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.22530439368506783, 'loss': 3.584846786526504, 'consensus_round': 19.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.3394842593674992, 'loss': 3.1421580508825375, 'consensus_round': 26.333333333333332, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.46182015430244366, 'loss': 2.1382071014953388, 'consensus_round': 38.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5436005750419918, 'loss': 1.7220204717774183, 'consensus_round': 48.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6384854109339744, 'loss': 1.270618964750693, 'consensus_round': 57.66666666666666, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6190087802740566, 'loss': 1.348013970850651, 'consensus_round': 67.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6091035507584484, 'loss': 1.3966305001379395, 'consensus_round': 78.33333333333334, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6727791959933698, 'loss': 1.0928679935159966, 'consensus_round': 89.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6855344619253354, 'loss': 1.051050793569802, 'consensus_round': 98.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5770317192275354, 'loss': 1.6813728989714156, 'consensus_round': 107.66666666666667, 'consensus_poisoning': 0.05650080256821829, 'norm': 0.0},
{'accuracy': 0.6816848064582902, 'loss': 1.0097384545093628, 'consensus_round': 119.33333333333333, 'consensus_poisoning': 0.09569814072183742, 'norm': 0.0},
{'accuracy': 0.6999834123848107, 'loss': 1.0540267114469002, 'consensus_round': 127.66666666666667, 'consensus_poisoning': 0.11909532764853886, 'norm': 0.0},
{'accuracy': 0.6230443178072507, 'loss': 1.4434992589864832, 'consensus_round': 138.33333333333334, 'consensus_poisoning': 0.14731568373133952, 'norm': 0.0},
{'accuracy': 0.6703778742420531, 'loss': 1.0626457829634426, 'consensus_round': 148.33333333333334, 'consensus_poisoning': 0.1694332217753115, 'norm': 0.0},
{'accuracy': 0.6184089523838927, 'loss': 1.197163991527297, 'consensus_round': 157.0, 'consensus_poisoning': 0.18029465131722142, 'norm': 0.0},
{'accuracy': 0.6297575246094584, 'loss': 1.1799726257215004, 'consensus_round': 167.66666666666669, 'consensus_poisoning': 0.21818583744749837, 'norm': 0.0},
{'accuracy': 0.7297877038721811, 'loss': 0.8353211430005226, 'consensus_round': 177.33333333333334, 'consensus_poisoning': 0.2212734385538918, 'norm': 0.0},
{'accuracy': 0.7517426449285699, 'loss': 0.9036512790323946, 'consensus_round': 187.66666666666666, 'consensus_poisoning': 0.22591496073627773, 'norm': 0.0},
{'accuracy': 0.6584738907271211, 'loss': 1.1198033823816764, 'consensus_round': 198.33333333333334, 'consensus_poisoning': 0.23524461599853408, 'norm': 0.0},


# femnist-tanglec-lambda
# lambda = 0.3
{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.08500485823186124, 'loss': 3.6917732832631214, 'consensus_round': 9.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.18627387515552354, 'loss': 3.6543749322512316, 'consensus_round': 17.666666666666668, 'consensus_poisoning': 0.0, 'norm': 0.5415457487106323},
{'accuracy': 0.5047615415556852, 'loss': 2.0995560543283034, 'consensus_round': 28.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5796188960032813, 'loss': 1.6160641760853551, 'consensus_round': 38.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5622104303042869, 'loss': 1.579255400804531, 'consensus_round': 48.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6523760203582158, 'loss': 1.1754263460210899, 'consensus_round': 57.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6709958698247358, 'loss': 1.1420180094146293, 'consensus_round': 67.33333333333331, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6843073239720655, 'loss': 1.0877956698863804, 'consensus_round': 78.33333333333331, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7319418497914989, 'loss': 0.8872500202466567, 'consensus_round': 88.66666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6962296930733604, 'loss': 0.9203552583518819, 'consensus_round': 98.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},


{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.08360651548977056, 'loss': 3.6836783498940395, 'consensus_round': 9.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.11952001559480868, 'loss': 3.7680705697956407, 'consensus_round': 17.666666666666668, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.4790734838675358, 'loss': 2.0861082900950887, 'consensus_round': 27.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5891984077435745, 'loss': 1.557061418098257, 'consensus_round': 38.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5788197333946308, 'loss': 1.5255311951096235, 'consensus_round': 48.333333333333336, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6980682180290075, 'loss': 1.063048010433755, 'consensus_round': 58.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7051348219770945, 'loss': 1.017713221483298, 'consensus_round': 68.33333333333331, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6521620430362415, 'loss': 1.1346127857869686, 'consensus_round': 78.66666666666669, 'consensus_poisoning': 0.0, 'norm': 1.192954659461975},
{'accuracy': 0.7315651659778535, 'loss': 0.8890890896726579, 'consensus_round': 88.66666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7550559037553901, 'loss': 0.8660751829242057, 'consensus_round': 98.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},


{'accuracy': 0.02139013550453855, 'loss': 4.122910935514972, 'consensus_round': 0.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.08360651548977056, 'loss': 3.6836783498940395, 'consensus_round': 9.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.11952001559480868, 'loss': 3.7680705697956407, 'consensus_round': 17.666666666666668, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5324005412822589, 'loss': 1.9377879623528182, 'consensus_round': 28.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5575223929560369, 'loss': 1.6682929804791575, 'consensus_round': 39.33333333333333, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.5824297794393744, 'loss': 1.5079887756097208, 'consensus_round': 48.666666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6922805016477963, 'loss': 1.0818339222074265, 'consensus_round': 58.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6987976478977934, 'loss': 1.0568264423120761, 'consensus_round': 68.33333333333331, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6911529847480498, 'loss': 1.0567298020992, 'consensus_round': 78.0, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.7357204715859332, 'loss': 0.8771142376514705, 'consensus_round': 88.66666666666664, 'consensus_poisoning': 0.0, 'norm': 0.0},
{'accuracy': 0.6866520611523149, 'loss': 0.9386031882772399, 'consensus_round': 98.66666666666667, 'consensus_poisoning': 0.0, 'norm': 0.0},

